cross type: one | select type: rul | mutation probability: 0% | cross probability: 0% | population size: 25 | time: 0.0741326
cross type: two | select type: turney | mutation probability: 70% | cross probability: 40% | population size: 25 | time: 0.0655241
cross type: one | select type: rul | mutation probability: 70% | cross probability: 50% | population size: 25 | time: 0.159465
cross type: one | select type: turney | mutation probability: 70% | cross probability: 50% | population size: 25 | time: 0.0493624
cross type: two | select type: rul | mutation probability: 70% | cross probability: 50% | population size: 25 | time: 0.0892785
cross type: two | select type: turney | mutation probability: 70% | cross probability: 50% | population size: 25 | time: 0.0538669
cross type: one | select type: rul | mutation probability: 70% | cross probability: 60% | population size: 25 | time: 0.14049
cross type: one | select type: turney | mutation probability: 70% | cross probability: 60% | population size: 25 | time: 0.0836177
cross type: two | select type: rul | mutation probability: 70% | cross probability: 60% | population size: 25 | time: 0.245548
cross type: two | select type: turney | mutation probability: 70% | cross probability: 60% | population size: 25 | time: 0.099803
cross type: one | select type: rul | mutation probability: 70% | cross probability: 70% | population size: 25 | time: 0.197018
cross type: one | select type: turney | mutation probability: 70% | cross probability: 70% | population size: 25 | time: 0.107297
cross type: two | select type: rul | mutation probability: 70% | cross probability: 70% | population size: 25 | time: 0.125613
cross type: two | select type: turney | mutation probability: 70% | cross probability: 70% | population size: 25 | time: 0.0677206
cross type: one | select type: rul | mutation probability: 70% | cross probability: 80% | population size: 25 | time: 0.213117
cross type: one | select type: turney | mutation probability: 70% | cross probability: 80% | population size: 25 | time: 0.101721
cross type: two | select type: rul | mutation probability: 70% | cross probability: 80% | population size: 25 | time: 0.311764
cross type: two | select type: turney | mutation probability: 70% | cross probability: 80% | population size: 25 | time: 0.0889477
cross type: one | select type: rul | mutation probability: 70% | cross probability: 90% | population size: 25 | time: 0.20641
cross type: one | select type: turney | mutation probability: 70% | cross probability: 90% | population size: 25 | time: 0.13134
cross type: two | select type: rul | mutation probability: 70% | cross probability: 90% | population size: 25 | time: 0.257282
cross type: two | select type: turney | mutation probability: 70% | cross probability: 90% | population size: 25 | time: 0.373577
cross type: one | select type: rul | mutation probability: 80% | cross probability: 0% | population size: 25 | time: 0.0843925
cross type: one | select type: turney | mutation probability: 80% | cross probability: 0% | population size: 25 | time: 0.076651
cross type: two | select type: rul | mutation probability: 80% | cross probability: 0% | population size: 25 | time: 0.0838906
cross type: two | select type: turney | mutation probability: 80% | cross probability: 0% | population size: 25 | time: 0.064224
cross type: one | select type: rul | mutation probability: 80% | cross probability: 10% | population size: 25 | time: 0.117541
cross type: one | select type: turney | mutation probability: 80% | cross probability: 10% | population size: 25 | time: 0.094674
cross type: two | select type: rul | mutation probability: 80% | cross probability: 10% | population size: 25 | time: 0.145059
cross type: two | select type: turney | mutation probability: 80% | cross probability: 10% | population size: 25 | time: 0.0688102
cross type: one | select type: rul | mutation probability: 80% | cross probability: 20% | population size: 25 | time: 0.182956
cross type: one | select type: turney | mutation probability: 80% | cross probability: 20% | population size: 25 | time: 0.0967953
cross type: two | select type: rul | mutation probability: 80% | cross probability: 20% | population size: 25 | time: 0.0966378
cross type: two | select type: turney | mutation probability: 80% | cross probability: 20% | population size: 25 | time: 0.0531235
cross type: one | select type: rul | mutation probability: 80% | cross probability: 30% | population size: 25 | time: 0.118126
cross type: one | select type: turney | mutation probability: 80% | cross probability: 30% | population size: 25 | time: 0.0627083
cross type: two | select type: rul | mutation probability: 80% | cross probability: 30% | population size: 25 | time: 0.100926
cross type: two | select type: turney | mutation probability: 80% | cross probability: 30% | population size: 25 | time: 0.0493256
cross type: one | select type: rul | mutation probability: 80% | cross probability: 40% | population size: 25 | time: 0.122973
cross type: one | select type: turney | mutation probability: 80% | cross probability: 40% | population size: 25 | time: 0.216172
cross type: two | select type: rul | mutation probability: 80% | cross probability: 40% | population size: 25 | time: 0.553112
cross type: two | select type: turney | mutation probability: 80% | cross probability: 40% | population size: 25 | time: 0.301801
cross type: one | select type: rul | mutation probability: 80% | cross probability: 50% | population size: 25 | time: 0.131593
cross type: one | select type: turney | mutation probability: 80% | cross probability: 50% | population size: 25 | time: 0.0863436
cross type: two | select type: rul | mutation probability: 80% | cross probability: 50% | population size: 25 | time: 0.099228
cross type: two | select type: turney | mutation probability: 80% | cross probability: 50% | population size: 25 | time: 0.0522357
cross type: one | select type: rul | mutation probability: 80% | cross probability: 60% | population size: 25 | time: 0.105665
cross type: one | select type: turney | mutation probability: 80% | cross probability: 60% | population size: 25 | time: 0.0639094
cross type: two | select type: rul | mutation probability: 80% | cross probability: 60% | population size: 25 | time: 0.113195
cross type: two | select type: turney | mutation probability: 80% | cross probability: 60% | population size: 25 | time: 0.07277
cross type: one | select type: rul | mutation probability: 80% | cross probability: 70% | population size: 25 | time: 0.153525
cross type: one | select type: turney | mutation probability: 80% | cross probability: 70% | population size: 25 | time: 0.143647
cross type: two | select type: rul | mutation probability: 80% | cross probability: 70% | population size: 25 | time: 0.210318
cross type: two | select type: turney | mutation probability: 80% | cross probability: 70% | population size: 25 | time: 0.183318
cross type: one | select type: rul | mutation probability: 80% | cross probability: 80% | population size: 25 | time: 0.188348
cross type: one | select type: turney | mutation probability: 80% | cross probability: 80% | population size: 25 | time: 0.0946136
cross type: two | select type: rul | mutation probability: 80% | cross probability: 80% | population size: 25 | time: 0.142999
cross type: two | select type: turney | mutation probability: 80% | cross probability: 80% | population size: 25 | time: 0.0868416
cross type: one | select type: rul | mutation probability: 80% | cross probability: 90% | population size: 25 | time: 0.193683
cross type: one | select type: turney | mutation probability: 80% | cross probability: 90% | population size: 25 | time: 0.0709357
cross type: two | select type: rul | mutation probability: 80% | cross probability: 90% | population size: 25 | time: 0.10639
cross type: two | select type: turney | mutation probability: 80% | cross probability: 90% | population size: 25 | time: 0.0683439
cross type: one | select type: rul | mutation probability: 90% | cross probability: 0% | population size: 25 | time: 0.0345828
cross type: one | select type: turney | mutation probability: 90% | cross probability: 0% | population size: 25 | time: 0.0323731
cross type: two | select type: rul | mutation probability: 90% | cross probability: 0% | population size: 25 | time: 0.0520868
cross type: two | select type: turney | mutation probability: 90% | cross probability: 0% | population size: 25 | time: 0.0528835
cross type: one | select type: rul | mutation probability: 90% | cross probability: 10% | population size: 25 | time: 0.128889
cross type: one | select type: rul | mutation probability: 0% | cross probability: 0% | population size: 25 | time: 0.0962271 | score: 412
cross type: one | select type: turney | mutation probability: 0% | cross probability: 0% | population size: 25 | time: 0.0777572 | score: 395
cross type: two | select type: rul | mutation probability: 0% | cross probability: 0% | population size: 25 | time: 0.0605233 | score: 395
cross type: two | select type: turney | mutation probability: 0% | cross probability: 0% | population size: 25 | time: 0.0566597 | score: 395
cross type: one | select type: rul | mutation probability: 0% | cross probability: 10% | population size: 25 | time: 0.0673269 | score: 395
cross type: one | select type: turney | mutation probability: 0% | cross probability: 10% | population size: 25 | time: 0.0504094 | score: 412
cross type: two | select type: rul | mutation probability: 0% | cross probability: 10% | population size: 25 | time: 0.235726 | score: 463
cross type: two | select type: turney | mutation probability: 0% | cross probability: 10% | population size: 25 | time: 0.0879727 | score: 412
cross type: one | select type: rul | mutation probability: 0% | cross probability: 20% | population size: 25 | time: 0.122674 | score: 395
cross type: one | select type: turney | mutation probability: 0% | cross probability: 20% | population size: 25 | time: 0.0547375 | score: 395
cross type: two | select type: rul | mutation probability: 0% | cross probability: 20% | population size: 25 | time: 0.0838937 | score: 417
cross type: two | select type: turney | mutation probability: 0% | cross probability: 20% | population size: 25 | time: 0.0711345 | score: 395
cross type: one | select type: rul | mutation probability: 0% | cross probability: 30% | population size: 25 | time: 0.115324 | score: 412
cross type: one | select type: turney | mutation probability: 0% | cross probability: 30% | population size: 25 | time: 0.069752 | score: 395
cross type: two | select type: rul | mutation probability: 0% | cross probability: 30% | population size: 25 | time: 0.0791656 | score: 395
cross type: two | select type: turney | mutation probability: 0% | cross probability: 30% | population size: 25 | time: 0.0558373 | score: 395
cross type: one | select type: rul | mutation probability: 0% | cross probability: 40% | population size: 25 | time: 0.0887605 | score: 412
cross type: one | select type: turney | mutation probability: 0% | cross probability: 40% | population size: 25 | time: 0.0442699 | score: 412
cross type: two | select type: rul | mutation probability: 0% | cross probability: 40% | population size: 25 | time: 0.108857 | score: 482
cross type: two | select type: turney | mutation probability: 0% | cross probability: 40% | population size: 25 | time: 0.0738573 | score: 395
cross type: one | select type: rul | mutation probability: 0% | cross probability: 50% | population size: 25 | time: 0.131977 | score: 419
cross type: one | select type: turney | mutation probability: 0% | cross probability: 50% | population size: 25 | time: 0.0743846 | score: 395
cross type: two | select type: rul | mutation probability: 0% | cross probability: 50% | population size: 25 | time: 0.105988 | score: 412
cross type: two | select type: turney | mutation probability: 0% | cross probability: 50% | population size: 25 | time: 0.0823243 | score: 395
cross type: one | select type: rul | mutation probability: 0% | cross probability: 60% | population size: 25 | time: 0.141599 | score: 395
cross type: one | select type: turney | mutation probability: 0% | cross probability: 60% | population size: 25 | time: 0.096296 | score: 395
cross type: two | select type: rul | mutation probability: 0% | cross probability: 60% | population size: 25 | time: 0.124771 | score: 412
cross type: two | select type: turney | mutation probability: 0% | cross probability: 60% | population size: 25 | time: 0.0682624 | score: 412
cross type: one | select type: rul | mutation probability: 0% | cross probability: 70% | population size: 25 | time: 0.124264 | score: 570
cross type: one | select type: turney | mutation probability: 0% | cross probability: 70% | population size: 25 | time: 0.0579741 | score: 395
cross type: two | select type: rul | mutation probability: 0% | cross probability: 70% | population size: 25 | time: 0.126987 | score: 395
cross type: two | select type: turney | mutation probability: 0% | cross probability: 70% | population size: 25 | time: 0.074372 | score: 412
cross type: one | select type: rul | mutation probability: 0% | cross probability: 80% | population size: 25 | time: 0.248821 | score: 511
cross type: one | select type: turney | mutation probability: 0% | cross probability: 80% | population size: 25 | time: 0.113224 | score: 412
cross type: two | select type: rul | mutation probability: 0% | cross probability: 80% | population size: 25 | time: 0.222853 | score: 425
cross type: two | select type: turney | mutation probability: 0% | cross probability: 80% | population size: 25 | time: 0.170603 | score: 412
cross type: one | select type: rul | mutation probability: 0% | cross probability: 90% | population size: 25 | time: 0.149949 | score: 491
cross type: one | select type: turney | mutation probability: 0% | cross probability: 90% | population size: 25 | time: 0.120472 | score: 395
cross type: two | select type: rul | mutation probability: 0% | cross probability: 90% | population size: 25 | time: 0.258616 | score: 412
cross type: two | select type: turney | mutation probability: 0% | cross probability: 90% | population size: 25 | time: 0.195279 | score: 412
cross type: one | select type: rul | mutation probability: 10% | cross probability: 0% | population size: 25 | time: 0.104865 | score: 395
cross type: one | select type: turney | mutation probability: 10% | cross probability: 0% | population size: 25 | time: 0.0503761 | score: 395
cross type: two | select type: rul | mutation probability: 10% | cross probability: 0% | population size: 25 | time: 0.0456608 | score: 395
cross type: two | select type: turney | mutation probability: 10% | cross probability: 0% | population size: 25 | time: 0.0487379 | score: 395
cross type: one | select type: rul | mutation probability: 10% | cross probability: 10% | population size: 25 | time: 0.0472104 | score: 395
cross type: one | select type: turney | mutation probability: 10% | cross probability: 10% | population size: 25 | time: 0.070102 | score: 395
cross type: two | select type: rul | mutation probability: 10% | cross probability: 10% | population size: 25 | time: 0.0407005 | score: 395
cross type: two | select type: turney | mutation probability: 10% | cross probability: 10% | population size: 25 | time: 0.050986 | score: 395
cross type: one | select type: rul | mutation probability: 10% | cross probability: 20% | population size: 25 | time: 0.0679164 | score: 395
cross type: one | select type: turney | mutation probability: 10% | cross probability: 20% | population size: 25 | time: 0.0622473 | score: 425
cross type: two | select type: rul | mutation probability: 10% | cross probability: 20% | population size: 25 | time: 0.0305378 | score: 395
cross type: two | select type: turney | mutation probability: 10% | cross probability: 20% | population size: 25 | time: 0.0359864 | score: 395
cross type: one | select type: rul | mutation probability: 10% | cross probability: 30% | population size: 25 | time: 0.103947 | score: 412
cross type: one | select type: turney | mutation probability: 10% | cross probability: 30% | population size: 25 | time: 0.104005 | score: 412
cross type: two | select type: rul | mutation probability: 10% | cross probability: 30% | population size: 25 | time: 0.070255 | score: 395
cross type: two | select type: turney | mutation probability: 10% | cross probability: 30% | population size: 25 | time: 0.072843 | score: 412
cross type: one | select type: rul | mutation probability: 10% | cross probability: 40% | population size: 25 | time: 0.112706 | score: 419
cross type: one | select type: turney | mutation probability: 10% | cross probability: 40% | population size: 25 | time: 0.0876945 | score: 395
cross type: two | select type: rul | mutation probability: 10% | cross probability: 40% | population size: 25 | time: 0.0814911 | score: 395
cross type: two | select type: turney | mutation probability: 10% | cross probability: 40% | population size: 25 | time: 0.0764152 | score: 395
cross type: one | select type: rul | mutation probability: 10% | cross probability: 50% | population size: 25 | time: 0.0943344 | score: 412
cross type: one | select type: turney | mutation probability: 10% | cross probability: 50% | population size: 25 | time: 0.195693 | score: 395
cross type: two | select type: rul | mutation probability: 10% | cross probability: 50% | population size: 25 | time: 0.170706 | score: 417
cross type: two | select type: turney | mutation probability: 10% | cross probability: 50% | population size: 25 | time: 0.0842247 | score: 395
cross type: one | select type: rul | mutation probability: 10% | cross probability: 60% | population size: 25 | time: 0.0944822 | score: 395
cross type: one | select type: turney | mutation probability: 10% | cross probability: 60% | population size: 25 | time: 0.0557118 | score: 395
cross type: two | select type: rul | mutation probability: 10% | cross probability: 60% | population size: 25 | time: 0.0865152 | score: 465
cross type: two | select type: turney | mutation probability: 10% | cross probability: 60% | population size: 25 | time: 0.0521523 | score: 395
cross type: one | select type: rul | mutation probability: 10% | cross probability: 70% | population size: 25 | time: 0.100421 | score: 570
cross type: one | select type: turney | mutation probability: 10% | cross probability: 70% | population size: 25 | time: 0.113595 | score: 395
cross type: two | select type: rul | mutation probability: 10% | cross probability: 70% | population size: 25 | time: 0.191514 | score: 548
cross type: two | select type: turney | mutation probability: 10% | cross probability: 70% | population size: 25 | time: 0.0909249 | score: 412
cross type: one | select type: rul | mutation probability: 10% | cross probability: 80% | population size: 25 | time: 0.223654 | score: 482
cross type: one | select type: turney | mutation probability: 10% | cross probability: 80% | population size: 25 | time: 0.050171 | score: 412
cross type: two | select type: rul | mutation probability: 10% | cross probability: 80% | population size: 25 | time: 0.133425 | score: 480
cross type: two | select type: turney | mutation probability: 10% | cross probability: 80% | population size: 25 | time: 0.0638133 | score: 395
cross type: one | select type: rul | mutation probability: 10% | cross probability: 90% | population size: 25 | time: 0.17463 | score: 526
cross type: one | select type: turney | mutation probability: 10% | cross probability: 90% | population size: 25 | time: 0.114248 | score: 395
cross type: two | select type: rul | mutation probability: 10% | cross probability: 90% | population size: 25 | time: 0.198568 | score: 395
cross type: two | select type: turney | mutation probability: 10% | cross probability: 90% | population size: 25 | time: 0.115137 | score: 419
cross type: one | select type: rul | mutation probability: 20% | cross probability: 0% | population size: 25 | time: 0.0801815 | score: 412
cross type: one | select type: turney | mutation probability: 20% | cross probability: 0% | population size: 25 | time: 0.0950224 | score: 395
cross type: two | select type: rul | mutation probability: 20% | cross probability: 0% | population size: 25 | time: 0.0669463 | score: 412
cross type: two | select type: turney | mutation probability: 20% | cross probability: 0% | population size: 25 | time: 0.0586991 | score: 568
cross type: one | select type: rul | mutation probability: 20% | cross probability: 10% | population size: 25 | time: 0.0568793 | score: 509
cross type: one | select type: turney | mutation probability: 20% | cross probability: 10% | population size: 25 | time: 0.0861094 | score: 509
cross type: two | select type: rul | mutation probability: 20% | cross probability: 10% | population size: 25 | time: 0.0608617 | score: 509
cross type: two | select type: turney | mutation probability: 20% | cross probability: 10% | population size: 25 | time: 0.0416449 | score: 425
cross type: one | select type: rul | mutation probability: 20% | cross probability: 20% | population size: 25 | time: 0.0756626 | score: 395
cross type: one | select type: turney | mutation probability: 20% | cross probability: 20% | population size: 25 | time: 0.0656425 | score: 395
cross type: two | select type: rul | mutation probability: 20% | cross probability: 20% | population size: 25 | time: 0.0721391 | score: 412
cross type: two | select type: turney | mutation probability: 20% | cross probability: 20% | population size: 25 | time: 0.0565893 | score: 412
cross type: one | select type: rul | mutation probability: 20% | cross probability: 30% | population size: 25 | time: 0.0461654 | score: 395
cross type: one | select type: turney | mutation probability: 20% | cross probability: 30% | population size: 25 | time: 0.0833249 | score: 395
cross type: two | select type: rul | mutation probability: 20% | cross probability: 30% | population size: 25 | time: 0.084487 | score: 504
cross type: two | select type: turney | mutation probability: 20% | cross probability: 30% | population size: 25 | time: 0.0521114 | score: 412
cross type: one | select type: rul | mutation probability: 20% | cross probability: 40% | population size: 25 | time: 0.0744097 | score: 395
cross type: one | select type: turney | mutation probability: 20% | cross probability: 40% | population size: 25 | time: 0.0547647 | score: 412
cross type: two | select type: rul | mutation probability: 20% | cross probability: 40% | population size: 25 | time: 0.0531385 | score: 533
cross type: two | select type: turney | mutation probability: 20% | cross probability: 40% | population size: 25 | time: 0.0919174 | score: 412
cross type: one | select type: rul | mutation probability: 20% | cross probability: 50% | population size: 25 | time: 0.0710984 | score: 395
cross type: one | select type: turney | mutation probability: 20% | cross probability: 50% | population size: 25 | time: 0.0651953 | score: 395
cross type: two | select type: rul | mutation probability: 20% | cross probability: 50% | population size: 25 | time: 0.0745526 | score: 495
cross type: two | select type: turney | mutation probability: 20% | cross probability: 50% | population size: 25 | time: 0.0737374 | score: 395
cross type: one | select type: rul | mutation probability: 20% | cross probability: 60% | population size: 25 | time: 0.0740109 | score: 395
cross type: one | select type: turney | mutation probability: 20% | cross probability: 60% | population size: 25 | time: 0.122493 | score: 395
cross type: two | select type: rul | mutation probability: 20% | cross probability: 60% | population size: 25 | time: 0.249468 | score: 491
cross type: two | select type: turney | mutation probability: 20% | cross probability: 60% | population size: 25 | time: 0.112826 | score: 395
cross type: one | select type: rul | mutation probability: 20% | cross probability: 70% | population size: 25 | time: 0.234554 | score: 511
cross type: one | select type: turney | mutation probability: 20% | cross probability: 70% | population size: 25 | time: 0.110365 | score: 395
cross type: two | select type: rul | mutation probability: 20% | cross probability: 70% | population size: 25 | time: 0.217524 | score: 412
cross type: two | select type: turney | mutation probability: 20% | cross probability: 70% | population size: 25 | time: 0.092863 | score: 395
cross type: one | select type: rul | mutation probability: 20% | cross probability: 80% | population size: 25 | time: 0.331074 | score: 395
cross type: one | select type: turney | mutation probability: 20% | cross probability: 80% | population size: 25 | time: 0.102576 | score: 412
cross type: two | select type: rul | mutation probability: 20% | cross probability: 80% | population size: 25 | time: 0.143053 | score: 419
cross type: two | select type: turney | mutation probability: 20% | cross probability: 80% | population size: 25 | time: 0.0591938 | score: 417
cross type: one | select type: rul | mutation probability: 20% | cross probability: 90% | population size: 25 | time: 0.115096 | score: 491
cross type: one | select type: turney | mutation probability: 20% | cross probability: 90% | population size: 25 | time: 0.0928664 | score: 509
cross type: two | select type: rul | mutation probability: 20% | cross probability: 90% | population size: 25 | time: 0.29877 | score: 526
cross type: two | select type: turney | mutation probability: 20% | cross probability: 90% | population size: 25 | time: 0.188833 | score: 412
cross type: one | select type: rul | mutation probability: 30% | cross probability: 0% | population size: 25 | time: 0.151408 | score: 395
cross type: one | select type: turney | mutation probability: 30% | cross probability: 0% | population size: 25 | time: 0.137041 | score: 417
cross type: two | select type: rul | mutation probability: 30% | cross probability: 0% | population size: 25 | time: 0.0571962 | score: 425
cross type: two | select type: turney | mutation probability: 30% | cross probability: 0% | population size: 25 | time: 0.152798 | score: 395
cross type: one | select type: rul | mutation probability: 30% | cross probability: 10% | population size: 25 | time: 0.169184 | score: 460
cross type: one | select type: turney | mutation probability: 30% | cross probability: 10% | population size: 25 | time: 0.0790805 | score: 395
cross type: two | select type: rul | mutation probability: 30% | cross probability: 10% | population size: 25 | time: 0.3263 | score: 417
cross type: two | select type: turney | mutation probability: 30% | cross probability: 10% | population size: 25 | time: 0.128418 | score: 395
cross type: one | select type: rul | mutation probability: 30% | cross probability: 20% | population size: 25 | time: 0.105587 | score: 504
cross type: one | select type: turney | mutation probability: 30% | cross probability: 20% | population size: 25 | time: 0.135683 | score: 395
cross type: two | select type: rul | mutation probability: 30% | cross probability: 20% | population size: 25 | time: 0.454804 | score: 412
cross type: two | select type: turney | mutation probability: 30% | cross probability: 20% | population size: 25 | time: 0.202262 | score: 395
cross type: one | select type: rul | mutation probability: 30% | cross probability: 30% | population size: 25 | time: 0.309087 | score: 395
cross type: one | select type: turney | mutation probability: 30% | cross probability: 30% | population size: 25 | time: 0.0828603 | score: 417
cross type: two | select type: rul | mutation probability: 30% | cross probability: 30% | population size: 25 | time: 0.163212 | score: 412
cross type: two | select type: turney | mutation probability: 30% | cross probability: 30% | population size: 25 | time: 0.109323 | score: 395
cross type: one | select type: rul | mutation probability: 30% | cross probability: 40% | population size: 25 | time: 0.295126 | score: 412
cross type: one | select type: turney | mutation probability: 30% | cross probability: 40% | population size: 25 | time: 0.11119 | score: 395
cross type: two | select type: rul | mutation probability: 30% | cross probability: 40% | population size: 25 | time: 0.116649 | score: 460
cross type: two | select type: turney | mutation probability: 30% | cross probability: 40% | population size: 25 | time: 0.0960503 | score: 412
cross type: one | select type: rul | mutation probability: 30% | cross probability: 50% | population size: 25 | time: 0.187607 | score: 412
cross type: one | select type: turney | mutation probability: 30% | cross probability: 50% | population size: 25 | time: 0.0906698 | score: 395
cross type: two | select type: rul | mutation probability: 30% | cross probability: 50% | population size: 25 | time: 0.0818839 | score: 395
cross type: two | select type: turney | mutation probability: 30% | cross probability: 50% | population size: 25 | time: 0.0620507 | score: 425
cross type: one | select type: rul | mutation probability: 30% | cross probability: 60% | population size: 25 | time: 0.0919205 | score: 432
cross type: one | select type: turney | mutation probability: 30% | cross probability: 60% | population size: 25 | time: 0.1516 | score: 504
cross type: two | select type: rul | mutation probability: 30% | cross probability: 60% | population size: 25 | time: 0.158171 | score: 395
cross type: two | select type: turney | mutation probability: 30% | cross probability: 60% | population size: 25 | time: 0.125646 | score: 395
cross type: one | select type: rul | mutation probability: 30% | cross probability: 70% | population size: 25 | time: 0.266051 | score: 491
cross type: one | select type: turney | mutation probability: 30% | cross probability: 70% | population size: 25 | time: 0.116958 | score: 395
cross type: two | select type: rul | mutation probability: 30% | cross probability: 70% | population size: 25 | time: 0.338958 | score: 570
cross type: two | select type: turney | mutation probability: 30% | cross probability: 70% | population size: 25 | time: 0.125069 | score: 412
cross type: one | select type: rul | mutation probability: 30% | cross probability: 80% | population size: 25 | time: 0.263378 | score: 412
cross type: one | select type: turney | mutation probability: 30% | cross probability: 80% | population size: 25 | time: 0.0996836 | score: 454
cross type: two | select type: rul | mutation probability: 30% | cross probability: 80% | population size: 25 | time: 0.158102 | score: 465
cross type: two | select type: turney | mutation probability: 30% | cross probability: 80% | population size: 25 | time: 0.126399 | score: 412
cross type: one | select type: rul | mutation probability: 30% | cross probability: 90% | population size: 25 | time: 0.169309 | score: 412
cross type: one | select type: turney | mutation probability: 30% | cross probability: 90% | population size: 25 | time: 0.0994528 | score: 570
cross type: two | select type: rul | mutation probability: 30% | cross probability: 90% | population size: 25 | time: 0.136884 | score: 509
cross type: two | select type: turney | mutation probability: 30% | cross probability: 90% | population size: 25 | time: 0.0788528 | score: 419
cross type: one | select type: rul | mutation probability: 40% | cross probability: 0% | population size: 25 | time: 0.0534952 | score: 533
cross type: one | select type: turney | mutation probability: 40% | cross probability: 0% | population size: 25 | time: 0.0319199 | score: 495
cross type: two | select type: rul | mutation probability: 40% | cross probability: 0% | population size: 25 | time: 0.0321972 | score: 425
cross type: two | select type: turney | mutation probability: 40% | cross probability: 0% | population size: 25 | time: 0.0971962 | score: 412
cross type: one | select type: rul | mutation probability: 40% | cross probability: 10% | population size: 25 | time: 0.0373922 | score: 432
cross type: one | select type: turney | mutation probability: 40% | cross probability: 10% | population size: 25 | time: 0.0797606 | score: 419
cross type: two | select type: rul | mutation probability: 40% | cross probability: 10% | population size: 25 | time: 0.101548 | score: 395
cross type: two | select type: turney | mutation probability: 40% | cross probability: 10% | population size: 25 | time: 0.0741045 | score: 509
cross type: one | select type: rul | mutation probability: 40% | cross probability: 20% | population size: 25 | time: 0.132366 | score: 417
cross type: one | select type: turney | mutation probability: 40% | cross probability: 20% | population size: 25 | time: 0.234061 | score: 412
cross type: two | select type: rul | mutation probability: 40% | cross probability: 20% | population size: 25 | time: 0.111713 | score: 412
cross type: two | select type: turney | mutation probability: 40% | cross probability: 20% | population size: 25 | time: 0.0715369 | score: 504
cross type: one | select type: rul | mutation probability: 40% | cross probability: 30% | population size: 25 | time: 0.258412 | score: 395
cross type: one | select type: turney | mutation probability: 40% | cross probability: 30% | population size: 25 | time: 0.0545085 | score: 425
cross type: two | select type: rul | mutation probability: 40% | cross probability: 30% | population size: 25 | time: 0.0662373 | score: 570
cross type: two | select type: turney | mutation probability: 40% | cross probability: 30% | population size: 25 | time: 0.0386525 | score: 412
cross type: one | select type: rul | mutation probability: 40% | cross probability: 40% | population size: 25 | time: 0.0883539 | score: 395
cross type: one | select type: turney | mutation probability: 40% | cross probability: 40% | population size: 25 | time: 0.125206 | score: 395
cross type: two | select type: rul | mutation probability: 40% | cross probability: 40% | population size: 25 | time: 0.211097 | score: 568
cross type: two | select type: turney | mutation probability: 40% | cross probability: 40% | population size: 25 | time: 0.191846 | score: 395
cross type: one | select type: rul | mutation probability: 40% | cross probability: 50% | population size: 25 | time: 0.577222 | score: 482
cross type: one | select type: turney | mutation probability: 40% | cross probability: 50% | population size: 25 | time: 0.209184 | score: 412
cross type: two | select type: rul | mutation probability: 40% | cross probability: 50% | population size: 25 | time: 0.189422 | score: 480
cross type: two | select type: turney | mutation probability: 40% | cross probability: 50% | population size: 25 | time: 0.106731 | score: 395
cross type: one | select type: rul | mutation probability: 40% | cross probability: 60% | population size: 25 | time: 0.175145 | score: 412
cross type: one | select type: turney | mutation probability: 40% | cross probability: 60% | population size: 25 | time: 0.121113 | score: 395
cross type: two | select type: rul | mutation probability: 40% | cross probability: 60% | population size: 25 | time: 0.111175 | score: 482
cross type: two | select type: turney | mutation probability: 40% | cross probability: 60% | population size: 25 | time: 0.0751839 | score: 412
cross type: one | select type: rul | mutation probability: 40% | cross probability: 70% | population size: 25 | time: 0.142336 | score: 419
cross type: one | select type: turney | mutation probability: 40% | cross probability: 70% | population size: 25 | time: 0.0827282 | score: 395
cross type: two | select type: rul | mutation probability: 40% | cross probability: 70% | population size: 25 | time: 0.147077 | score: 417
cross type: two | select type: turney | mutation probability: 40% | cross probability: 70% | population size: 25 | time: 0.261212 | score: 412
cross type: one | select type: rul | mutation probability: 40% | cross probability: 80% | population size: 25 | time: 0.205729 | score: 425
cross type: one | select type: turney | mutation probability: 40% | cross probability: 80% | population size: 25 | time: 0.089805 | score: 432
cross type: two | select type: rul | mutation probability: 40% | cross probability: 80% | population size: 25 | time: 0.165541 | score: 570
cross type: two | select type: turney | mutation probability: 40% | cross probability: 80% | population size: 25 | time: 0.0626343 | score: 395
cross type: one | select type: rul | mutation probability: 40% | cross probability: 90% | population size: 25 | time: 0.11126 | score: 432
cross type: one | select type: turney | mutation probability: 40% | cross probability: 90% | population size: 25 | time: 0.324774 | score: 509
cross type: two | select type: rul | mutation probability: 40% | cross probability: 90% | population size: 25 | time: 0.33935 | score: 425
cross type: two | select type: turney | mutation probability: 40% | cross probability: 90% | population size: 25 | time: 0.132864 | score: 570
cross type: one | select type: rul | mutation probability: 50% | cross probability: 0% | population size: 25 | time: 0.0585261 | score: 533
cross type: one | select type: turney | mutation probability: 50% | cross probability: 0% | population size: 25 | time: 0.100407 | score: 395
cross type: two | select type: rul | mutation probability: 50% | cross probability: 0% | population size: 25 | time: 0.0533063 | score: 395
cross type: two | select type: turney | mutation probability: 50% | cross probability: 0% | population size: 25 | time: 0.0464685 | score: 504
cross type: one | select type: rul | mutation probability: 50% | cross probability: 10% | population size: 25 | time: 0.0436232 | score: 533
cross type: one | select type: turney | mutation probability: 50% | cross probability: 10% | population size: 25 | time: 0.033806 | score: 395
cross type: two | select type: rul | mutation probability: 50% | cross probability: 10% | population size: 25 | time: 0.0753647 | score: 395
